Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status
010,Agriculture,"Output Class: Outputs Provided
211103 Allowances
213001 Medical Expenses(To Employees)
213002 Incapacity, death benefits and funeral expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and Communications Technology
223003 Rent - Produced Assets to private entities
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
226001 Insurances
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
228004 Maintenance Other
282101 Donations",Unknown,58.87,,,,,
013,Education,"VF:1621 Regional and International Co-operation
Class:Outputs Provided
162101 Cooperation frameworks
162102 Promotion of trade, tourism, education, and investment
162103 Peace and Security
162104 Special Summits and Conferences",Unknown,5.22,,,,,
013,Education,"VF:1651 Management of Elections
Class:Outputs Provided
165101 Voter Education and Training
165102 Financial and Administrative Support Services
165103 Voter Registeration and Conduct of General elections
165105 Conduct of By-elections
Class:Capital Purchases
165172 Government Buildings and Administrative Infrastructure
165175 Purchase of Motor Vehicles and Other Transport Equipment
165177 Purchase of Specialised Machinery & Equipment",Unknown,47.45,,,,,
010,Agriculture,"312204 Taxes on Machinery, Furniture & Vehicles 6.83 224002 General Supply of Goods and Services
211102 Contract Staff Salaries (Incl. Casuals, Temporary) 0.07 211102 Contract Staff Salaries (Incl. Casuals, Temporary)
227004 Fuel, Lubricants and Oils 0.05 311101 Land
225001 Consultancy Services- Short-term 0.03 264101 Contributions to Autonomous Inst.
221002 Workshops and Seminars 0.02 224001 Medical and Agricultural supplies
211103 Allowances 0.02 211103 Allowances
227002 Travel Abroad 0.01 227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles 0.01 312204 Taxes on Machinery, Furniture & Vehicles
221011 Printing, Stationery, Photocopying and Binding 0.01 221003 Staff Training
312201 Transport Equipment
264102 Contributions to Autonomous Inst. Wage Subvent
221002 Workshops and Seminars
211101 General Staff Salaries
227001 Travel Inland
225001 Consultancy Services- Short-term
312101 Non-Residential Buildings
228002 Maintenance - Vehicles
221011 Printing, Stationery, Photocopying and Binding
312104 Other Structures
221001 Advertising and Public Relations",Unknown,46.1,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
321429 NAADS
VF:0182 District Production Services
321415 PMA non sectoral condition grant",Unknown,117.24,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
321429 NAADS
VF:0182 District Production Services
321415 PMA non sectoral condition grant",Unknown,117.24,,,,,
014,Health,321432 Health Training Schools,Unknown,1.89,,,,,
010,Agriculture,"224001 Medical and Agricultural supplies 21.41 224001 Medical and Agricultural supplies
312202 Machinery and Equipment 0.51 211101 General Staff Salaries
312101 Non-Residential Buildings 0.41 312101 Non-Residential Buildings
312204 Taxes on Machinery, Furniture & Vehicles 0.34 312202 Machinery and Equipment
224002 General Supply of Goods and Services 0.26 224002 General Supply of Goods and Services
312103 Roads and Bridges 0.15 227001 Travel Inland
312203 Furniture and Fixtures 0.04 211103 Allowances
221011 Printing, Stationery, Photocopying and Binding 0.02 312102 Residential Buildings
211103 Allowances 0.01 223005 Electricity
228001 Maintenance - Civil 0.01 227004 Fuel, Lubricants and Oils
227001 Travel Inland 0.01 221002 Workshops and Seminars
221003 Staff Training 0.01 221011 Printing, Stationery, Photocopying and Binding
221001 Advertising and Public Relations 0.01 264102 Contributions to Autonomous Inst. Wage Subvent
223007 Other Utilities- (fuel, gas, f 0.01 312204 Taxes on Machinery, Furniture & Vehicles
312201 Transport Equipment
228002 Maintenance - Vehicles
263106 Other Current grants(current)
223006 Water
312104 Other Structures
228003 Maintenance Machinery, Equipment and Furnitur",Unknown,84.19,,,,,
014,Health,"VF:0881 Primary Healthcare
321407 District PHC wage
321413 District PHC non-wage
321417 District Hospital
321418 District NGO
321421 PHC NGO Wage Subvention
321431 District PHC Dev't",Unknown,192.9,,,,,
010,Agriculture,"223005 Electricity 0.06 211101 General Staff Salaries
221011 Printing, Stationery, Photocopying and Binding 0.05 224003 Classified Expenditure
221009 Welfare and Entertainment 0.05 225001 Consultancy Services- Short-term
221014 Bank Charges and other Bank related costs 0.05 221009 Welfare and Entertainment
312204 Taxes on Machinery, Furniture & Vehicles 0.04 312101 Non-Residential Buildings
224001 Medical and Agricultural supplies 0.03 221011 Printing, Stationery, Photocopying and Binding
227004 Fuel, Lubricants and Oils 0.02 228002 Maintenance - Vehicles
228001 Maintenance - Civil 0.01 227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles 0.01 221003 Staff Training
223005 Electricity
211103 Allowances
227001 Travel Inland
312204 Taxes on Machinery, Furniture & Vehicles
312201 Transport Equipment
223006 Water
224001 Medical and Agricultural supplies
227002 Travel Abroad
222001 Telecommunications
312202 Machinery and Equipment
227003 Carriage, Haulage, Freight and Transport Hire",Unknown,229.66,,,,,
010,Agriculture,"VF:0102 Animal Resources
Class:Outputs Provided
010201 Policies, laws, guidelines, plans and strategies
010202 Improved access to water for livestock
010203 Promotion of Animals and Animal Products
010204 Promotion of sustainable fisheries
010205 Vector and disease control measures
010206 Improved market access for livestock and livestock products
Class:Outputs Funded
010252 Animal breeding and genetic development (NAGRIC)
010253 Dairy Development and Regulation (DDA)
010254 Control of Tryptanomiasis and Sleeping Sickness (COCTU)
Class:Capital Purchases
010272 Government Buildings and Administrative Infrastructure
010275 Purchase of Motor Vehicles and Other Transport Equipment
010277 Purchase of Specialised Machinery & Equipment",Unknown,17.05,,,,,
010,Agriculture,"VF:0149 Policy, Planning and Support Services 6.29 5.44 5.42 86.6% 86.3% 99.7%
Class:Outputs Provided 5.43 4.76 4.74 87.7% 87.3% 99.6%
014901 Strategies, policies, plans and Guidelines 2.24 1.93 1.92 86.0% 85.5% 99.4%
014902 Administration, HRD and Accounting 1.33 1.19 1.19 89.4% 89.1% 99.6%
014904 Monitoring and evaluating the activities of the sector 1.85 1.64 1.64 88.5% 88.3% 99.7%
Class:Outputs Funded 0.14 0.09 0.09 66.7% 66.7% 100.0%
014951 Secondment for MAAIF staff in Rome 0.14 0.09 0.09 66.7% 66.7% 100.0%
Class:Capital Purchases 0.72 0.59 0.59 82.1% 82.3% 100.2%
014975 Purchase of Motor Vehicles and Other Transport Equipment 0.42 0.37 0.37 88.6% 88.6% 100.0%
014976 Purchase of Office and ICT Equipment, including Software 0.13 0.12 0.12 93.9% 94.8% 101.0%
014978 Purchase of Office and Residential Furniture and Fittings 0.17 0.10 0.10 57.8% 57.8% 100.0%",Unknown,6.29,,,,,
010,Agriculture,"Output Class: Outputs Provided
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
213001 Medical Expenses(To Employees)
213002 Incapacity, death benefits and funeral expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector etc)
221006 Commissions and Related Charges
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
Output Class: Outputs Funded
263104 Transfers to other gov't units(current)
263340 Other grants
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
311101 Land
312101 Non-Residential Buildings
312104 Other Structures
312201 Transport Equipment
312202 Machinery and Equipment",Unknown,18.5,,,,,
010,Agriculture,"VF:0101 Crops 12.99 11.50 11.50 88.6% 88.6% 100.0%
Recurrent Programmes
02 Directorate of Crop Resources 0.04 0.03 0.03 79.8% 79.8% 100.0%
03 Farm Development 2.13 2.05 2.05 96.0% 96.0% 100.0%
04 Crop Protection Department 0.81 0.66 0.66 80.7% 80.7% 100.0%
05 Crop Production Department 0.21 0.15 0.15 72.7% 72.7% 100.0%
Development Projects
0077 Agricultural Marketing Promotion and Regional Inte 0.34 0.34 0.34 100.0% 100.0% 100.0%
0088 NW Small holder Agricultural Development 0.00 0.00 0.00 N/A N/A N/A
0089 Support for Irrigation 0.00 0.00 0.00 N/A N/A N/A
0104 Support for Tea Cocoa Seedlings 0.87 0.85 0.85 97.4% 97.4% 100.0%
0106 Vegetable Oil Development Project 6.40 5.52 5.52 86.3% 86.3% 100.0%
0968 Farm Income Enhancement Project 0.30 0.20 0.20 65.9% 65.9% 100.0%
0970 Crop disease and Pest Control 0.77 0.75 0.75 97.5% 97.5% 100.0%
1007 Improvement of Food Security in Cross Border dists 0.06 0.05 0.05 90.4% 90.4% 100.0%
1009 Sustainable Land Management Project 0.10 0.09 0.09 88.7% 88.7% 100.0%
1011 Dissemination NERICA and Improved Rice 0.00 0.00 0.00 N/A N/A N/A
1012 Integrated Pest and Disease Management 0.30 0.24 0.24 81.1% 81.0% 99.9%
1082 Sustainable Irrigated Rice Production in E. Uganda 0.20 0.16 0.16 81.9% 81.7% 99.8%
1118 Regional NERICA Research and Training Centre 0.30 0.28 0.28 94.6% 94.9% 100.3%
1119 Agriculture/Improved Rice Production 0.16 0.13 0.13 82.4% 82.4% 100.0%
1170 Kabale Tea Factory 0.00 0.00 0.00 N/A N/A N/A",Unknown,88.6,,,,,
010,Agriculture,"VF:0101 Crops 12.99 11.50 11.50 88.6% 88.6% 100.0%
Recurrent Programmes
02 Directorate of Crop Resources 0.04 0.03 0.03 79.8% 79.8% 100.0%
03 Farm Development 2.13 2.05 2.05 96.0% 96.0% 100.0%
04 Crop Protection Department 0.81 0.66 0.66 80.7% 80.7% 100.0%
05 Crop Production Department 0.21 0.15 0.15 72.7% 72.7% 100.0%
Development Projects
0077 Agricultural Marketing Promotion and Regional Inte 0.34 0.34 0.34 100.0% 100.0% 100.0%
0088 NW Small holder Agricultural Development 0.00 0.00 0.00 N/A N/A N/A
0089 Support for Irrigation 0.00 0.00 0.00 N/A N/A N/A
0104 Support for Tea Cocoa Seedlings 0.87 0.85 0.85 97.4% 97.4% 100.0%
0106 Vegetable Oil Development Project 6.40 5.52 5.52 86.3% 86.3% 100.0%
0968 Farm Income Enhancement Project 0.30 0.20 0.20 65.9% 65.9% 100.0%
0970 Crop disease and Pest Control 0.77 0.75 0.75 97.5% 97.5% 100.0%
1007 Improvement of Food Security in Cross Border dists 0.06 0.05 0.05 90.4% 90.4% 100.0%
1009 Sustainable Land Management Project 0.10 0.09 0.09 88.7% 88.7% 100.0%
1011 Dissemination NERICA and Improved Rice 0.00 0.00 0.00 N/A N/A N/A
1012 Integrated Pest and Disease Management 0.30 0.24 0.24 81.1% 81.0% 99.9%
1082 Sustainable Irrigated Rice Production in E. Uganda 0.20 0.16 0.16 81.9% 81.7% 99.8%
1118 Regional NERICA Research and Training Centre 0.30 0.28 0.28 94.6% 94.9% 100.3%
1119 Agriculture/Improved Rice Production 0.16 0.13 0.13 82.4% 82.4% 100.0%
1170 Kabale Tea Factory 0.00 0.00 0.00 N/A N/A N/A",Unknown,88.6,,,,,
014,Health,"VF:0102 Animal Resources 17.05 15.37 15.36 90.2% 90.1% 99.9%
Recurrent Programmes
06 Directorate of Animal Resources 2.18 2.90 2.90 132.9% 132.9% 100.0%
07 Animal Production Department 1.59 1.42 1.42 89.3% 89.2% 99.9%
08 Livestock Health and Entomology 0.91 0.82 0.82 90.4% 90.4% 100.0%
09 Fisheries Resources Department 2.17 1.36 1.36 63.0% 62.9% 99.8%
Development Projects
0083 Farming in Tsetse Areas of E. Africa 0.20 0.19 0.19 93.5% 93.4% 100.0%
0090 Livestock Disease Control 3.59 3.38 3.38 94.1% 94.1% 100.0%
0091 National Livestock Production Improvement 2.10 1.74 1.74 82.8% 82.8% 100.0%
0097 Support to Fisheries Development 2.00 1.57 1.57 78.7% 78.6% 99.8%
0969 Creation of Tsetse and Tryp Free areas 0.20 0.18 0.18 91.8% 91.8% 100.0%
1083 Uganda Meat Exports Development Project 0.50 0.44 0.44 87.4% 87.0% 99.6%
1084 Avian and Human Influenza Preparedness and Respons 0.14 0.11 0.11 76.9% 76.9% 100.0%
1086 Support to Quality Assurance Fish Marketing 0.52 0.47 0.47 91.5% 91.5% 100.0%
1117 Export Goat Breeding and Production 0.96 0.79 0.79 82.5% 82.5% 100.0%
1165 Increasing Mukene for Human Consumption 0.00 0.00 0.00 N/A N/A N/A
1166 Support to Fisheries Mechanisation & Weed Control 0.00 0.00 0.00 N/A N/A N/A",Unknown,90.2,,,,,
010,Agriculture,VF:0151 Agricultural Research,Unknown,23.47,,,,,
010,Agriculture,VF:0154 Agriculture Advisory Services,Unknown,17.0,,,,,
010,Agriculture,VF:0154 Agriculture Advisory Services,Unknown,17.0,,,,,
010,Agriculture,"VF:0182 District Production Services
VF:0181 Agriculture Advisory Services",Unknown,5.05,,,,,
010,Agriculture,"VF:0182 District Production Services
VF:0181 Agriculture Advisory Services",Unknown,5.05,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
Class:Outputs Provided
018100 Agricultural Advisory Services",Unknown,117.24,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
Class:Outputs Provided
018100 Agricultural Advisory Services",Unknown,117.24,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services 117.24 117.24 117.24 100.0% 100.0% 100.0%
Development Projects
0100 NAADS 117.24 117.24 117.24 100.0% 100.0% 100.0%",Unknown,100.0,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services 117.24 117.24 117.24 100.0% 100.0% 100.0%
Development Projects
0100 NAADS 117.24 117.24 117.24 100.0% 100.0% 100.0%",Unknown,100.0,,,,,
010,Agriculture,"VF:0404 District, Urban and Community Access Roads 24.27 22.94 22.93 94.5% 94.5% 100.0%
Development Projects
0261 District Road Network feeder roads 0.40 0.38 0.38 94.9% 94.9% 100.0%
0262 District Road Network/Gravel roads 0.30 0.28 0.28 94.9% 94.9% 100.0%
0263 District Road Network/Labour based 1.80 1.71 1.71 94.9% 94.9% 100.0%
0264 AAMP Rehab. District Roads/ADF 0.60 0.47 0.47 78.3% 78.3% 100.0%
0269 Construction of Selected Bridges 4.08 3.87 3.87 94.9% 94.9% 100.0%
0274 Feeder Roads Rehab Northern Uganda 2.12 2.01 2.01 94.9% 94.9% 100.0%
0306 Urban Roads Re-sealing 4.20 3.99 3.99 94.9% 94.9% 100.0%
0307 Rehab. Of Districts Roads 5.00 4.75 4.75 94.9% 94.9% 100.0%
0417 Regravelling of District roads (Stabex) 0.05 0.05 0.05 100.0% 99.9% 99.9%
0995 Community Agriculture Infrastructre improvement 1.04 0.99 0.99 94.9% 94.9% 100.0%
0996 Support to Tourism infrastructure development 1.00 0.95 0.95 94.9% 94.8% 99.9%
1018 Rural Roads Programme - Support to MELTEC 2.20 2.09 2.09 94.9% 94.9% 100.0%
1019 Rural Roads Programme - Support to MOWT 1.28 1.21 1.21 94.9% 94.2% 99.3%
1062 Karamoja Roads Development Programme 0.20 0.19 0.19 94.9% 94.9% 100.0%
1171 U - Growth Support to MELTC 0.00 0.00 0.00 N/A N/A N/A
1172 U - Growth Support to DUCAR 0.00 0.00 0.00 N/A N/A N/A",Unknown,24.27,,,,,
010,Agriculture,"VF:0404 District, Urban and Community Access Roads 24.27 22.94 22.93 94.5% 94.5% 100.0%
Development Projects
0261 District Road Network feeder roads 0.40 0.38 0.38 94.9% 94.9% 100.0%
0262 District Road Network/Gravel roads 0.30 0.28 0.28 94.9% 94.9% 100.0%
0263 District Road Network/Labour based 1.80 1.71 1.71 94.9% 94.9% 100.0%
0264 AAMP Rehab. District Roads/ADF 0.60 0.47 0.47 78.3% 78.3% 100.0%
0269 Construction of Selected Bridges 4.08 3.87 3.87 94.9% 94.9% 100.0%
0274 Feeder Roads Rehab Northern Uganda 2.12 2.01 2.01 94.9% 94.9% 100.0%
0306 Urban Roads Re-sealing 4.20 3.99 3.99 94.9% 94.9% 100.0%
0307 Rehab. Of Districts Roads 5.00 4.75 4.75 94.9% 94.9% 100.0%
0417 Regravelling of District roads (Stabex) 0.05 0.05 0.05 100.0% 99.9% 99.9%
0995 Community Agriculture Infrastructre improvement 1.04 0.99 0.99 94.9% 94.9% 100.0%
0996 Support to Tourism infrastructure development 1.00 0.95 0.95 94.9% 94.8% 99.9%
1018 Rural Roads Programme - Support to MELTEC 2.20 2.09 2.09 94.9% 94.9% 100.0%
1019 Rural Roads Programme - Support to MOWT 1.28 1.21 1.21 94.9% 94.2% 99.3%
1062 Karamoja Roads Development Programme 0.20 0.19 0.19 94.9% 94.9% 100.0%
1171 U - Growth Support to MELTC 0.00 0.00 0.00 N/A N/A N/A
1172 U - Growth Support to DUCAR 0.00 0.00 0.00 N/A N/A N/A",Unknown,24.27,,,,,
013,Education,"VF:0703 Special Needs Education, Guidance and Counselling
VF:0705 Skills Development
VF:0702 Secondary Education
VF:0706 Quality and Standards
VF:0701 Pre-Primary and Primary Education
VF:0749 Policy, Planning and Support Services
VF:0707 Physical Education and Sports
VF:0704 Higher Education",Unknown,1.26,,,,,
013,Education,VF:0701 Pre-Primary and Primary Education,Unknown,35.52,,,,,
013,Education,"Class:Outputs Provided
070101 Policies, laws, guidelines, plans and strategies
070102 Instructional Materials for Primary Schools
070103 Monitoring and Supervision of Primary Schools
070104 Pupil Identifaction Services
070105 Support to war affected children in Northern Uganda
Class:Outputs Funded
070151 Assessment of Primary Education (PLE)
070153 Primary Teacher Development (PTC's)
070154 Support to Teachers in Hard to Reach Areas
Class:Capital Purchases
070172 Government Buildings and Administrative Infrastructure
070175 Purchase of Motor Vehicles and Other Transport Equipment
070178 Purchase of Office and Residential Furniture and Fittings",Unknown,18.98,,,,,
013,Education,"VF:0702 Secondary Education
Class:Outputs Provided
070201 Policies, laws, guidelines plans and strategies
070203 Monitoring and Supervision of Secondary Schools
070204 Training of Secondary Teachers
070205 Monitoring USE Placements in Private Schools
Class:Outputs Funded
070251 USE Tuition Support
070253 Secondary Examinations (UNEB)
Class:Capital Purchases
070272 Government Buildings and Administrative Infrastructure",Unknown,108.92,,,,,
013,Education,"VF:0703 Special Needs Education, Guidance and Counselling
Class:Outputs Provided
070301 Policies, laws, guidelines, plans and strategies
070302 Advocacy,Sensitisation and Information Dissemmination
070303 Monitoring and Supervision of Special Needs Facilities
070304 Student Selection Processes and Admissions
Class:Outputs Funded
070351 Special Needs Education Services",Unknown,1.26,,,,,
013,Education,"VF:0704 Higher Education 14.61 13.37 13.37 91.5% 91.5% 100.0%
Class:Outputs Provided 9.08 8.67 8.67 95.5% 95.5% 100.0%
070401 Policies, guidelines to universities and other tertiary institutions 0.48 0.33 0.33 69.2% 68.8% 99.5%
070402 Operational Support for Private Universities 8.60 8.34 8.34 97.0% 97.0% 100.0%
Class:Outputs Funded 5.53 4.70 4.70 85.0% 84.9% 99.9%
070451 Support establishment of constituent colleges and Public 2.00 1.66 1.66 83.0% 83.0% 100.0%
Universities
070452 Support to Research Institutions in Public Universities 1.50 1.34 1.34 89.4% 89.4% 100.0%
070453 Sponsorship Scheme and Staff Development for Masters and Phds 0.49 0.40 0.39 80.1% 79.5% 99.3%
070454 Monitoring/supervision and Quality assurance for Tertiary 1.54 1.31 1.31 84.6% 84.6% 100.0%
Institutions (AICAD, NCHE, JAB)",Unknown,14.61,,,,,
013,Education,"VF:0701 Pre-Primary and Primary Education 35.52 30.45 30.44 85.7% 85.7% 100.0%
Recurrent Programmes
02 Pre-Primary and Primary Education 32.94 28.06 28.05 85.2% 85.1% 100.0%
Development Projects
0176 Child Friendly Basic Education (0176) 0.17 0.16 0.16 94.9% 94.8% 99.9%
0210 WFP Karamoja (0210) 0.60 0.52 0.52 86.9% 86.9% 100.0%
0943 Emergency Construction of Primary Schools (0943) 1.80 1.71 1.71 94.9% 94.9% 100.0%",Unknown,85.7,,,,,
013,Education,"VF:0702 Secondary Education 108.92 109.58 109.54 100.6% 100.6% 100.0%
Recurrent Programmes
03 Secondary Education 84.50 82.96 82.94 98.2% 98.2% 100.0%
14 Private Schools Department 0.45 0.27 0.27 60.7% 60.5% 99.6%
Development Projects
0897 Development of Secondary Education (0897) 13.06 11.86 11.84 90.8% 90.6% 99.8%
0949 ADB III Post Primary Education (0949) 6.44 10.34 10.34 160.6% 160.6% 100.0%
1091 Support to USE (IDA) 1.20 1.07 1.07 89.1% 89.1% 100.0%
1092 ADB IV Support to USE (1092) 3.27 3.08 3.08 94.0% 94.0% 100.0%",Unknown,100.6,,,,,
013,Education,"VF:0703 Special Needs Education, Guidance and Counselling 1.26 0.91 0.91 72.4% 71.9% 99.4%
Recurrent Programmes
06 Special Needs Education and Career Guidance 0.47 0.34 0.34 72.7% 72.7% 100.0%
15 Guidance and Counselling 0.79 0.57 0.56 72.2% 71.4% 99.0%",Unknown,72.4,,,,,
013,Education,"VF:0704 Higher Education 14.61 13.37 13.37 91.5% 91.5% 100.0%
Recurrent Programmes
07 Higher Education 14.61 13.37 13.37 91.5% 91.5% 100.0%",Unknown,91.5,,,,,
014,Health,"VF:0705 Skills Development 28.76 28.26 28.25 98.2% 98.2% 100.0%
Recurrent Programmes
05 BTVET 11.80 11.98 11.98 101.6% 101.6% 100.0%
10 NHSTC 4.68 4.43 4.43 94.7% 94.7% 100.0%
11 Dept. Training Institutions 2.29 2.21 2.21 96.5% 96.5% 100.0%
Development Projects
0191 Rehabilitation Nat. Health Training College 1.40 1.33 1.33 94.9% 94.7% 99.8%
0942 Development of BTVET 2.50 2.37 2.37 94.9% 94.9% 100.0%
0971 Development of TVET P7 Graduate 3.10 3.08 3.08 99.4% 99.3% 99.9%
1093 Nakawa Vocational Training Institute (1093) 3.00 2.85 2.85 94.9% 94.9% 100.0%",Unknown,98.2,,,,,
013,Education,"VF:0706 Quality and Standards 18.96 17.27 17.27 91.1% 91.0% 100.0%
Recurrent Programmes
04 Teacher Education 6.63 5.89 5.89 88.9% 88.9% 100.0%
09 Education Standards Agency 4.63 4.07 4.06 87.8% 87.7% 99.9%
Development Projects
0944 Development of PTCs (0944) 2.70 2.56 2.56 94.9% 94.9% 100.0%
0984 Relocation of Shimoni PTC (0984) 5.00 4.74 4.74 94.9% 94.9% 100.0%",Unknown,91.1,,,,,
013,Education,VF:0751 Delivery of Tertiary Education and Research,Unknown,6.55,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education and Research
Class:Outputs Provided
075101 Teaching and Training
075102 Research, Consultancy and Publications
075103 Outreach
075104 Students' Welfare
075105 Administration and Support Services",Unknown,6.55,,,,,
013,Education,VF:0752 Education Personnel Policy and Management,Unknown,3.7,,,,,
013,Education,"VF:0752 Education Personnel Policy and Management
Class:Outputs Provided
075201 Management of Education Service Personnel
075202 Policy ,Monitoring, Evaluation and Research
075203 Finance, Administration, Audit and Procurement
Class:Capital Purchases
075276 Purchase of Office and ICT Equipment, including Software
075278 Purchase of Office and Residential Furniture and Fittings",Unknown,3.7,,,,,
013,Education,VF:0751 Delivery of Tertiary Education,Unknown,44.95,,,,,
013,Education,VF:0751 Delivery of Tertiary Education,Unknown,10.5,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education
Class:Outputs Provided
075101 Teaching and Training
075102 Research, Consultancy and Publications
075103 Outreach
075104 Students' Welfare
075105 Administration and Support Services
Class:Outputs Funded
075151 Guild Services
075152 Subsciptions to Research and International Organisations
Class:Capital Purchases
075172 Government Buildings and Administrative Infrastructure
075173 Roads, Streets and Highways
075175 Purchase of Motor Vehicles and Other Transport Equipment
075177 Purchase of Specialised Machinery & Equipment
075178 Purchase of Office and Residential Furniture and Fittings",Unknown,10.5,,,,,
013,Education,VF:0751 Delivery of Tertiary Education,Unknown,6.18,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education
Class:Outputs Provided
075101 Teaching and Training
075104 Students' Welfare
075105 Administration and Support Services
Class:Capital Purchases
075172 Government Buildings and Administrative Infrastructure",Unknown,6.18,,,,,
013,Education,VF:0751 Delivery of Tertiary Education,Unknown,18.46,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education
Class:Outputs Provided
075101 Teaching and Training
075102 Research, consultancy and publications
075103 Outreach
075104 Students' Welfare
075105 Administration and Support Services
Class:Outputs Funded
075151 Guild services
Class:Capital Purchases
075172 Government Buildings and Administrative Infrastructure
075175 Purchase of Motor Vehicles and Other Transport Equipment
075199 Arrears",Unknown,18.46,,,,,
010,Agriculture,"223007 Other Utilities- (fuel, gas, f
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
226001 Insurances
227001 Travel Inland
227002 Travel Abroad
227003 Carriage, Haulage, Freight and Transport Hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
282103 Scholarships and related costs
Output Class: Outputs Funded
262101 Contributions to International Organisations (Curre
263106 Other Current grants(current)
Output Class: Capital Purchases
312101 Non-Residential Buildings
312201 Transport Equipment
Output Class: Arrears
321614 Electricity Arrears
Output Class: Outputs Provided
211101 General Staff Salaries",Unknown,0.06,,,,,
013,Education,VF:0751 Delivery of Tertiary Education,Unknown,0.43,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education
Class:Outputs Provided
075101 Teaching and Training
075105 Administration and Support Services",Unknown,0.43,,,,,
013,Education,VF:0751 Delivery of Tertiary Education and Research,Unknown,9.95,,,,,
013,Education,"VF:0751 Delivery of Tertiary Education and Research
Class:Outputs Provided
075101 Teaching and Training
075102 Research, Consultancy and Publications
075103 Outreach
075104 Students' Welfare
075105 Administration and Support Services
Class:Outputs Funded
075151 Guild Services
075152 Contributions to Research and International Organisations
Class:Capital Purchases
075171 Acquisition of Land by Government
075172 Government Buildings and Administrative Infrastructure
075173 Roads, Streets and Highways
075175 Purchase of Motor Vehicles and Other Transport Equipment
075176 Purchase of Office and ICT Equipment, including Software
075177 Purchase of Specialised Machinery & Equipment
075178 Purchase of Office and Residential Furniture and Fittings
075199 Arrears",Unknown,9.95,,,,,
