Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status,Source File
13,Education,"1333 Mt. Rwenzori Tourism Infrastructure Development
Project (MRTIDP)
1334 Development of Museums and Heritage Sites for
Cultural Promotion
1335 Establishment of Lake Victoria Tourism Circuit
1336 Development of Source of the Nile
1337 Establishment of Regional Satellite Wildlife
Conservation Education Centres in Uganda",2019-20,1.69,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"224001 Medical Supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
226002 Licenses
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other
229201 Sale of goods purchased for resale
273101 Medical expenses (To general Public)
273102 Incapacity, death benefits and funeral expenses
281401 Rental – non produced assets
281501 Environment Impact Assessment for Capital Works
281504 Monitoring, Supervision & Appraisal of Capital work
282101 Donations
282102 Fines and Penalties/ Court wards
282103 Scholarships and related costs
282104 Compensation to 3rd Parties
282105 Court Awards
282161 Disposal of Assets (Loss/Gain)",2019-20,973.98,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"023 Ministry of Science,Technology and
Innovation
49 General Administration and Planning
141 URA
54 Revenue Collection & Administration
104 Parliamentary Commission
51 Parliament
006 Ministry of Foreign Affairs
05 Regional and International Economic Affairs
013 Ministry of Education and Sports
49 Policy, Planning and Support Services
123 Rural Electrification Agency (REA)
51 Rural Electrification
101 Judiciary
51 Judicial services
122 Kampala Capital City Authority
49 Economic Policy Monitoring,Evaluation &
Inspection
021 East African Community
49 Administration, Policy and Planning
103 Inspectorate of Government (IG)
12 General Administration and Support Services
014 Ministry of Health
49 Policy, Planning and Support Services
140 Uganda Management Institute
13 Support Services Programme
022 Ministry of Tourism, Wildlife and
Antiquities
01 Tourism, Wildlife Conservation and Museums
309 National Identification and Registration
Authority (NIRA)
49 Policy, Planning and Support Services
224 Mission in France
52 Overseas Mission Services",2019-20,89.261,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"023 Ministry of Science,Technology and
Innovation
49 General Administration and Planning
141 URA
54 Revenue Collection & Administration
104 Parliamentary Commission
51 Parliament
006 Ministry of Foreign Affairs
05 Regional and International Economic Affairs
013 Ministry of Education and Sports
49 Policy, Planning and Support Services
123 Rural Electrification Agency (REA)
51 Rural Electrification
101 Judiciary
51 Judicial services
122 Kampala Capital City Authority
49 Economic Policy Monitoring,Evaluation &
Inspection
021 East African Community
49 Administration, Policy and Planning
103 Inspectorate of Government (IG)
12 General Administration and Support Services
014 Ministry of Health
49 Policy, Planning and Support Services
140 Uganda Management Institute
13 Support Services Programme
022 Ministry of Tourism, Wildlife and
Antiquities
01 Tourism, Wildlife Conservation and Museums
309 National Identification and Registration
Authority (NIRA)
49 Policy, Planning and Support Services
224 Mission in France
52 Overseas Mission Services",2019-20,89.261,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"023 Ministry of Science,Technology and
Innovation
49 General Administration and Planning
141 URA
54 Revenue Collection & Administration
104 Parliamentary Commission
51 Parliament
006 Ministry of Foreign Affairs
05 Regional and International Economic Affairs
013 Ministry of Education and Sports
49 Policy, Planning and Support Services
123 Rural Electrification Agency (REA)
51 Rural Electrification
101 Judiciary
51 Judicial services
122 Kampala Capital City Authority
49 Economic Policy Monitoring,Evaluation &
Inspection
021 East African Community
49 Administration, Policy and Planning
103 Inspectorate of Government (IG)
12 General Administration and Support Services
014 Ministry of Health
49 Policy, Planning and Support Services
140 Uganda Management Institute
13 Support Services Programme
022 Ministry of Tourism, Wildlife and
Antiquities
01 Tourism, Wildlife Conservation and Museums
309 National Identification and Registration
Authority (NIRA)
49 Policy, Planning and Support Services
224 Mission in France
52 Overseas Mission Services",2019-20,89.261,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"023 Ministry of Science,Technology and
Innovation
49 General Administration and Planning
141 URA
54 Revenue Collection & Administration
104 Parliamentary Commission
51 Parliament
006 Ministry of Foreign Affairs
05 Regional and International Economic Affairs
013 Ministry of Education and Sports
49 Policy, Planning and Support Services
123 Rural Electrification Agency (REA)
51 Rural Electrification
101 Judiciary
51 Judicial services
122 Kampala Capital City Authority
49 Economic Policy Monitoring,Evaluation &
Inspection
021 East African Community
49 Administration, Policy and Planning
103 Inspectorate of Government (IG)
12 General Administration and Support Services
014 Ministry of Health
49 Policy, Planning and Support Services
140 Uganda Management Institute
13 Support Services Programme
022 Ministry of Tourism, Wildlife and
Antiquities
01 Tourism, Wildlife Conservation and Museums
309 National Identification and Registration
Authority (NIRA)
49 Policy, Planning and Support Services
224 Mission in France
52 Overseas Mission Services",2019-20,89.261,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"312207 Classified Assets
211101 General Staff Salaries
224003 Classified Expenditure
312103 Roads and Bridges.
211103 Allowances (Inc. Casuals, Temporary)
263204 Transfers to other govt. Units (Capital)
311101 Land
211102 Contract Staff Salaries
312205 Aircrafts
263106 Other Current grants (Current)
224001 Medical Supplies
321605 Domestic arrears (Budgeting)
312104 Other Structures
263104 Transfers to other govt. Units (Current)
312101 Non-Residential Buildings
227001 Travel inland
224006 Agricultural Supplies
221010 Special Meals and Drinks
211104 Statutory salaries
282101 Donations",2019-20,2109.47,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Agriculture,2019-20,122.597,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Agriculture,2019-20,122.597,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"263101 LG Conditional grants
Education",2019-20,2.232,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
321470 Development Grant
Health",2019-20,1328.27,,,,,,ABPR%20FY%202019-20.pdf
13,Education,13,2019-20,942,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,,2019-20,386,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,,2019-20,386,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,,2019-20,1395,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263308 Conditional transfers for Agric. Ext Salaries
321408 Conditional transfers to Agric. Ext Salaries
321448 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",2017-18,154.31,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263308 Conditional transfers for Agric. Ext Salaries
321408 Conditional transfers to Agric. Ext Salaries
321448 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",2017-18,154.31,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme : 81 Pre-Primary and Primary Education
SubProgramme : 06 Education
263305 Conditional transfers for Primary Salaries
321411 Conditional transfers to Primary Education
321447 Conditional Transfer for School Inspection
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)",2017-18,3016.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme : 81 Pre-Primary and Primary Education
SubProgramme : 06 Education
263305 Conditional transfers for Primary Salaries
321411 Conditional transfers to Primary Education
321447 Conditional Transfer for School Inspection
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)",2017-18,3016.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1243 Rehabilitation and Construction of General Hospitals
321472 Transitional Development Grant
SubProgramme : 1385 HEALTH DEVELOPMENT
263201 LG Conditional grants",2017-18,1029.22,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1243 Rehabilitation and Construction of General Hospitals
321472 Transitional Development Grant
SubProgramme : 1385 HEALTH DEVELOPMENT
263201 LG Conditional grants",2017-18,1029.22,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1243 Rehabilitation and Construction of General Hospitals
321472 Transitional Development Grant
SubProgramme : 1385 HEALTH DEVELOPMENT
263201 LG Conditional grants",2017-18,1029.22,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme : 81 District and Urban Administration
SubProgramme : 01 Administration
212105 Pension for Local Governments
212107 Gratuity for Local Governments
263329 NAADS
321401 District Unconditional grants
321402 Urban Unconditional grants
321444 Conditional transfers for Salaries & gratuity for elected political leaders",2017-18,2176.96,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2017-18,107,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2017-18,107,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2017-18,107,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2017-18,107,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2017-18,107,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
010101 Policies, laws, guidelines, plans and strategies
010102 Quality Assurance systems along the value chain
010103 Crop production technology promotion
010104 Crop pest and disease control measures
010105 Food and nutrition security
010106 Increased value addition in the sector",2017-18,72.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010101 Policies, laws, guidelines, plans and strategies
010102 Quality Assurance systems along the value chain
010103 Crop production technology promotion
010104 Crop pest and disease control measures
010105 Food and nutrition security
010106 Increased value addition in the sector",2017-18,72.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"010107 Promotion of Production & Productivity of priority
commodities
010108 Increased value addition of priority commodities
010109 Control of pest and diseases in priority commodities",2017-18,11.45,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"010107 Promotion of Production & Productivity of priority
commodities
010108 Increased value addition of priority commodities
010109 Control of pest and diseases in priority commodities",2017-18,11.45,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
010171 Acquisition of Land by Government
010172 Government Buildings and Administrative
Infrastructure
010173 Roads, Streets and Highways
010175 Purchase of Motor Vehicles and Other Transport
Equipment
010176 Purchase of Office and ICT Equipment, including
Software
010177 Purchase of Specialised Machinery & Equipment
010178 Purchase of Office and Residential Furniture and
Fittings
010182 Construction of irrigation schemes",2017-18,34.42,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
010201 Policies, laws, guidelines, plans and strategies
010202 Improved access to water for livestock
010203 Promotion of Animals and Animal Products
010204 Promotion of sustainable fisheries
010205 Vector and disease control measures
010206 Improved market access for livestock and livestock
products
010207 Promotion of priority animal products and
productivity
010209 Vector and disease control in priority animal
commodities",2017-18,68.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010201 Policies, laws, guidelines, plans and strategies
010202 Improved access to water for livestock
010203 Promotion of Animals and Animal Products
010204 Promotion of sustainable fisheries
010205 Vector and disease control measures
010206 Improved market access for livestock and livestock
products
010207 Promotion of priority animal products and
productivity
010209 Vector and disease control in priority animal
commodities",2017-18,68.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010201 Policies, laws, guidelines, plans and strategies
010202 Improved access to water for livestock
010203 Promotion of Animals and Animal Products
010204 Promotion of sustainable fisheries
010205 Vector and disease control measures
010206 Improved market access for livestock and livestock
products
010207 Promotion of priority animal products and
productivity
010209 Vector and disease control in priority animal
commodities",2017-18,68.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
010275 Purchase of Motor Vehicles and Other Transport
Equipment
010279 Acquisition of Other Capital Assets
010280 Livestock Infrastructure Construction
010281 Livestock marketing facility construction",2017-18,25.47,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2017-18,67.85,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2017-18,67.85,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"010302 Administration, HRD, and Accounting
010303 Agricultural extension co-ordination strengthened
010304 Provision of Agricultural production extension
services
010305 Provision of Value Addition extension services",2017-18,6.75,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"010302 Administration, HRD, and Accounting
010303 Agricultural extension co-ordination strengthened
010304 Provision of Agricultural production extension
services
010305 Provision of Value Addition extension services",2017-18,6.75,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"010302 Administration, HRD, and Accounting
010303 Agricultural extension co-ordination strengthened
010304 Provision of Agricultural production extension
services
010305 Provision of Value Addition extension services",2017-18,6.75,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Funded
010351 Transfer to district extension services",2017-18,39.61,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,Programme 0104 Fisheries Resources,2017-18,10.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010401 Policies, laws, guidelines, plans and strategies
010402 Fisheries Quality Assurance and standards
010404 Promotion of sustainable fisheries
010406 Improved market access for livestock and livestock
products",2017-18,9.4,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010401 Policies, laws, guidelines, plans and strategies
010402 Fisheries Quality Assurance and standards
010404 Promotion of sustainable fisheries
010406 Improved market access for livestock and livestock
products",2017-18,9.4,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
010483 Fisheries Infrastructure Construction",2017-18,1.09,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010501 Policies, laws, guidelines, plans and strategies
010502 Administration, HRD and Accounting
010504 Monitoring and evaluating the activities of the sector
010505 Creating and Enabling environment for Agriculture",2017-18,3.99,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010501 Policies, laws, guidelines, plans and strategies
010502 Administration, HRD and Accounting
010504 Monitoring and evaluating the activities of the sector
010505 Creating and Enabling environment for Agriculture",2017-18,3.99,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
010572 Government Buildings and Administrative
Infrastructure
010577 Purchase of Specialised Machinery & Equipment
010582 Construction of irrigation schemes
010583 Valley Tank Construction (livestock)",2017-18,15.24,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
010572 Government Buildings and Administrative
Infrastructure
010577 Purchase of Specialised Machinery & Equipment
010582 Construction of irrigation schemes
010583 Valley Tank Construction (livestock)",2017-18,15.24,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
014901 Strategies, policies, plans and Guidelines
014902 Administration, HRD and Accounting
014903 Improving Value addition and market Access
014904 Monitoring and evaluating the activities of the sector
014905 Creating and Enabling environment for Agriculture
014906 Institutional Development In Agricultural Sector",2017-18,25.9,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
014901 Strategies, policies, plans and Guidelines
014902 Administration, HRD and Accounting
014903 Improving Value addition and market Access
014904 Monitoring and evaluating the activities of the sector
014905 Creating and Enabling environment for Agriculture
014906 Institutional Development In Agricultural Sector",2017-18,25.9,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Funded
014951 Secondment for MAAIF staff in Rome
014953 Support for Agricultural Training Institutions",2017-18,1.45,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Funded
014951 Secondment for MAAIF staff in Rome
014953 Support for Agricultural Training Institutions",2017-18,1.45,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Capital Purchases
014972 Government Buildings and Administrative
Infrastructure
014975 Purchase of Motor Vehicles and Other Transport
Equipment
014976 Purchase of Office and ICT Equipment, including
Software
014979 Acquisition of Other Capital Assets
014982 Construction of Irrigation Schemes",2017-18,3.2,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification",2017-18,0.44,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",2017-18,1.47,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",2017-18,1.47,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",2017-18,1.47,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",2017-18,1.47,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
09 Fisheries Resources Department
17 Department of Entomology",2017-18,0.25,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
09 Fisheries Resources Department
17 Department of Entomology",2017-18,0.25,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
09 Fisheries Resources Department
17 Department of Entomology",2017-18,0.25,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
09 Fisheries Resources Department
17 Department of Entomology",2017-18,0.25,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1329 The Goat Export Project in Sembabule District
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1365 Support to Sustainable Fisheries Development Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",2017-18,31.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1329 The Goat Export Project in Sembabule District
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1365 Support to Sustainable Fisheries Development Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",2017-18,31.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1329 The Goat Export Project in Sembabule District
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1365 Support to Sustainable Fisheries Development Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",2017-18,31.59,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2017-18,67.85,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2017-18,67.85,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services",2017-18,0.76,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services",2017-18,0.76,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"1139 ATAAS (Grant) EU, WB and DANIDA Funded
1266 Support to Agro Processing & Marketing of
Agricultural Products Project
1362 Agro-Economic Impact Deepening in the Albertine
Basin",2017-18,19.09,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,Programme 0104 Fisheries Resources,2017-18,10.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"09 Fisheries Resources Department
16 Directorate of Fisheries Resources
18 Department of Aquaculture Management and
Development
19 Department of Fisheries Control, Regulation and Quality
Assurance",2017-18,1.43,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"1365 Support to Sustainable Fisheries Development Project
1494 Promoting commercial aquaculture in Uganda Project",2017-18,4.49,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2017-18,19.23,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",2017-18,0.89,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",2017-18,0.89,,,,,,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
