Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",18/19,36.73,37.99,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0708 Education and Social Services,18/19,44.83,43.06,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0708 Education and Social Services,18/19,44.83,43.06,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,11 Education and Social Services,18/19,41.16,40.39,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education and Research,18/19,15.66,16.82,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",18/19,15.66,16.82,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0752 Education Personnel Policy and Management,18/19,8.31,9.51,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",18/19,8.31,9.51,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,1271 Support to Education Service Commission,18/19,0.35,0.35,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,269.06,282.75,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,269.06,282.75,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,48.01,51.76,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,48.01,51.76,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,83.7,78.05,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,83.7,78.05,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213003 Retrenchment costs
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
222001 Telecommunications
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil",18/19,74.62,71.77,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,141.17,134.55,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,141.17,134.55,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,37.41,28.66,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,37.41,28.66,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education and Research,18/19,43.88,46.61,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,17.59,16.82,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,17.59,16.82,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,22.33,25.14,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,0751 Delivery of Tertiary Education,18/19,12.93,18.08,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,18/19,12.93,18.08,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"0801 Health Governance and Regulation
0802 Health infrastructure and equipment
0803 Health Research
0805 Pharmaceutical and other Supplies
0806 Public Health Services
0808 Clinical Health Services
0849 Policy, Planning and Support Services",18/19,0.74,0.68,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,Programme 0801 Health Governance and Regulation,18/19,0.74,0.68,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,Programme 0803 Health Research,18/19,1.49,1.04,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"0220 Global Fund for AIDS, TB and Malaria
1436 GAVI Vaccines and Health Sector Development Plan
Support",18/19,4.28,3.97,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,Programme 0806 Public Health Services,18/19,9.99,9.09,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"06 Community Health
08 Communicable Diseases Prevention & Control
13 Health Education, Promotion & Communication
14 Reproductive and Child Health",18/19,2.08,1.7,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"06 Community Health
08 Communicable Diseases Prevention & Control
13 Health Education, Promotion & Communication
14 Reproductive and Child Health",18/19,2.08,1.7,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"1413 East Africa Public Health Laboratory Network project
Phase II
1441 Uganda Sanitation Fund Project II",18/19,0.05,0.05,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,Programme 0808 Clinical Health Services,18/19,45.73,42.98,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"09 shared National Services (Interns allowances, transfers to
international organisations and transfers to districts)
11 Nursing & Midwifery Services
15 Clinical Services
16 Emergency Medical Services
17 Health Infrastructure",18/19,38.01,35.89,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"01 Headquarters
02 Health Sector Strategy and Policy
10 Internal Audit Department
12 Human Resource Management Department",18/19,14.2,12.51,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"Programme: 0802 Health infrastructure and equipment 145.05 88.53 8.16 61.0% 5.6% 9.2%
Development Projects.
1185 Italian Support to HSSP and PRDP 5.61 3.42 0.00 60.9% 0.0% 0.0%
1243 Rehabilitation and Construction of General Hospitals 12.85 7.83 0.00 60.9% 0.0% 0.0%
1344 Renovation and Equipping of Kayunga and Yumbe 43.42 26.59 0.00 61.2% 0.0% 0.0%
General Hospitals
1440 Uganda Reproductive Maternal and Child Health 83.16 50.69 8.16 60.9% 9.8% 16.1%
Services Improvement Project",18/19,145.05,88.53,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"Programme: 0805 Pharmaceutical and other Supplies 826.00 477.14 414.88 57.8% 50.2% 87.0%
Development Projects.
0220 Global Fund for AIDS, TB and Malaria 751.38 457.94 413.03 60.9% 55.0% 90.2%
1436 GAVI Vaccines and Health Sector Development Plan 74.62 19.21 1.85 25.7% 2.5% 9.6%
Support",18/19,826,477.14,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"Programme: 0806 Public Health Services 21.60 13.41 5.76 62.1% 26.7% 43.0%
Development Projects.
1413 East Africa Public Health Laboratory Network project 16.73 10.44 4.41 62.4% 26.3% 42.2%
Phase II
1441 Uganda Sanitation Fund Project II 4.87 2.96 1.36 60.9% 27.9% 45.8%",18/19,21.6,13.41,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,01 Pharmaceuticals and Other Health Supplies,18/19,300.09,302.46,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,0807 Community Health Management,18/19,21.03,19.96,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,Programme 0807 Community Health Management,18/19,21.03,19.96,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,08 Public Health,18/19,20.09,19.02,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,0852 Human Resource Management for Health,18/19,6.4,6.4,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,0365 Health Service Commision,18/19,0.26,0.26,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,0855 Provision of Specialised Mental Health Services,18/19,14.75,14.39,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",18/19,14.75,14.39,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"0911 Butabika and health centre remodelling/construction
1474 Institutional Support to Butabika National Referral
Hospital",18/19,1.3,1.3,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"01 Headquarters
02 Health Research Services
03 Internal Audit",18/19,5.19,4.73,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances",18/19,35.5,24.21,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"04 Research, Monitoring and Evaluation
05 Education, Training, Information and Communication
06 Complaince and reporting",18/19,1.19,1.19,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"1483 Institutional Support to UPS -Retooling
15 Administration of Remand Prisoners
16 Administration of Convicted Prisoners
17 Offender Education and Training
18 Social Rehabilitation and Re-integration",18/19,3.33,3.33,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"1210 Recruitment and Discipline of Judicial Officers
1218 Public legal awareness and Judicial education
1219 Complaints management and advisory services
1225 General administration, planning, policy and
support services",18/19,1.66,1.58,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"Programme 1218 Public legal awareness and Judicial
education",18/19,1.24,1.23,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"09 Public legal awareness for administration of justice
10 Judicial Education for administration of justice",18/19,0.96,0.95,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other
282101 Donations
282104 Compensation to 3rd Parties",18/19,106.37,102.99,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"02 Local Government Administration
03 Local Councils Development Department
08 District Administration Department
09 Urban Administration Department
12 Local Economic Development Department
1360 Markets and Agricultural Trade Improvements
Programme (MATIP 2)
1381 Restoration of Livelihoods in Northern Region
(PRELNOR)
1416 Urban Markets and Marketing Development of
Agricultural Products (UMMDAP)
1509 Local Economic Growth (LEGS) Support Project",18/19,0.05,0.04,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"Programme: 1317 Local Government Administration 173.39 25.34 25.15 14.6% 14.5% 99.3%
and Development
Development Projects.
1360 Markets and Agricultural Trade Improvements 94.69 16.36 16.32 17.3% 17.2% 99.8%
Programme (MATIP 2)
1381 Restoration of Livelihoods in Northern Region 78.70 7.43 7.28 9.4% 9.3% 98.0%
(PRELNOR)
1416 Urban Markets and Marketing Development of 0.00 1.55 1.55 154.7% 154.7% 100.0%
Agricultural Products (UMMDAP)",18/19,173.39,25.34,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"09 Transparency, Accountability and Anti- Corruption
10 Specialised and Other Investigations
11 Decentralised Anti-Corruption Interventions
12 Prosecutions and Civil Litigations
13 Enforcement of Leadership Code of Conduct
14 Education and Prevention of Corruption",18/19,1.26,1.26,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"02 Internal Audit and Compliance
03 Corporate services
04 Legal Services
08 Research & Planning, Public Awarenessand Tax
Education",18/19,5.34,5.69,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"1333 Mt. Rwenzori Tourism Infrastructure Development
Project (MRTIDP)
1334 Development of Museums and Heritage Sites for
Cultural Promotion
1335 Establishment of Lake Victoria Tourism Circuit
1336 Development of Source of the Nile
1337 Establishment of Regional Satellite Wildlife
Conservation Education Centres in Uganda",18/19,1.32,1.04,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224003 Classified Expenditure
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
226002 Licenses
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other
229201 Sale of goods purchased for resale
273101 Medical expenses (To general Public)
273102 Incapacity, death benefits and funeral expenses
281401 Rental – non produced assets
282101 Donations
282102 Fines and Penalties/ Court wards
282103 Scholarships and related costs
282104 Compensation to 3rd Parties
282161 Disposal of Assets (Loss/Gain)",18/19,5.2,0.5,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"211101 General Staff Salaries
312103 Roads and Bridges.
224003 Classified Expenditure
263204 Transfers to other govt. Units (Capital)
311101 Land
211103 Allowances (Inc. Casuals, Temporary)
211102 Contract Staff Salaries
263106 Other Current grants (Current)
224001 Medical Supplies
321605 Domestic arrears (Budgeting)
312104 Other Structures
312101 Non-Residential Buildings
312205 Aircrafts
224006 Agricultural Supplies
312207 Classified Assets
263104 Transfers to other govt. Units (Current)
227001 Travel inland
263201 LG Conditional grants
221010 Special Meals and Drinks
225002 Consultancy Services- Long-term",18/19,1613.04,1649.98,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"224006 Agricultural Supplies
312101 Non-Residential Buildings
211101 General Staff Salaries
263325 Contingency transfers
211102 Contract Staff Salaries
212102 Pension for General Civil Service
263204 Transfers to other govt. Units (Capital)
213004 Gratuity Expenses
311101 Land
312202 Machinery and Equipment",18/19,301.3,295.53,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agriculture,Agriculture,18/19,122.967,124.102,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,Agriculture,18/19,122.967,124.102,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)
321470 Development Grant
Works and Transport",18/19,29.477,29.463,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
13,Education,"321470 Development Grant
321472 Transitional Development Grant
Education",18/19,10.91,10.91,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
14,Health,"321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
321470 Development Grant
321472 Transitional Development Grant
Health",18/19,1251.746,1251.746,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,100,10503,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,903,15414,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,903,15414,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,903,15418,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,903,15418,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,903,15414,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,5,15623,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,6,15627,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,10,15636,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,10,15639,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,10,15640,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,1325,15627,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,,18/19,1325,15630,Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf
10,Agric,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",19/20,122.6,126.19,ABPR%20FY%202019-20.pdf
13,Education,Programme : 81 Pre-Primary and Primary Education,19/20,1100.86,1100.86,ABPR%20FY%202019-20.pdf
14,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",19/20,552.21,563.15,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",19/20,270.18,172.04,ABPR%20FY%202019-20.pdf
10,Agric,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",19/20,270.18,172.04,ABPR%20FY%202019-20.pdf
10,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",19/20,0.34,0.32,ABPR%20FY%202019-20.pdf
10,Agric,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",19/20,0.34,0.32,ABPR%20FY%202019-20.pdf
10,Agric,"01 Headquarters
10 Department of Planning
13 Internal Audit
22 Agricultural Statistical Unit
25 Human Resource Management Department",19/20,4.93,3.43,ABPR%20FY%202019-20.pdf
10,Agriculture,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",19/20,10.47,6.2,ABPR%20FY%202019-20.pdf
10,Agric,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",19/20,10.47,6.2,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",19/20,246.91,152.87,ABPR%20FY%202019-20.pdf
10,Agric,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",19/20,246.91,152.87,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",19/20,21.91,2.34,ABPR%20FY%202019-20.pdf
10,Agric,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",19/20,21.91,2.34,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",19/20,8.94,6.32,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",19/20,25.58,24.14,ABPR%20FY%202019-20.pdf
10,Agric,0151 Agricultural Research,19/20,79.66,57.08,ABPR%20FY%202019-20.pdf
10,Agric,Programme 0151 Agricultural Research,19/20,79.66,57.08,ABPR%20FY%202019-20.pdf
10,Agriculture,0154 Agriculture Advisory Services,19/20,145.89,145.23,ABPR%20FY%202019-20.pdf
10,Agric,0154 Agriculture Advisory Services,19/20,145.89,145.23,ABPR%20FY%202019-20.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,19/20,145.89,145.23,ABPR%20FY%202019-20.pdf
10,Agric,Programme 0154 Agriculture Advisory Services,19/20,145.89,145.23,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",19/20,100.91,104.73,ABPR%20FY%202019-20.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",19/20,4.43,4.43,ABPR%20FY%202019-20.pdf
